field_index,scenario_id,scenario_name,time,rainband_width_km,rainband_length_km,rainband_aspect_ratio,rainband_width10_km,rainband_length10_km,rainband_aspect_ratio10,rainband_valid_grid_count,rainband_weight_sum,rainband10_valid_grid_count,rainband10_weight_sum
693,S1,intensity_enhanced,2024-10-30 10:00:00,510.04311421744643,557.3579453011865,1.0927663363445923,261.0733371433976,283.17290938417307,1.0846489054860315,4261,23820.589903116226,651,11632.739325523376
694,S1,intensity_enhanced,2024-10-30 10:30:00,515.6090118303417,567.3130818866942,1.1002776694550178,260.17841520954784,280.3292338580877,1.077450001501121,4321,23449.33837580681,648,11225.152480125427
695,S1,intensity_enhanced,2024-10-30 11:00:00,506.24685354589167,568.3798792110114,1.1227326653586522,258.432432434192,275.80955150992844,1.0672404733107959,4204,23022.372801423073,629,10924.03994846344
696,S1,intensity_enhanced,2024-10-30 11:30:00,505.6815883868122,535.2024449683955,1.0583783496562678,274.6055174195374,296.49563243732064,1.0797147676546455,3836,24563.26912367344,735,13413.980595588684
697,S1,intensity_enhanced,2024-10-30 12:00:00,512.756474672094,775.8790863924721,1.513153172543833,269.4481464752204,286.2898705946031,1.0625045090853145,3723,23692.85284638405,710,12609.418384552002
698,S1,intensity_enhanced,2024-10-30 12:30:00,504.5327987916512,555.1291858614678,1.100283642988113,268.8971040813515,280.91722537234625,1.044701564682367,4010,24117.077734947205,688,12320.901258468628
699,S1,intensity_enhanced,2024-10-30 13:00:00,500.85469008862697,548.2284732672622,1.0945858831236086,260.40044767770036,273.77285407431003,1.0513532388898184,4028,24487.5137424469,651,12698.773267745972
700,S1,intensity_enhanced,2024-10-30 13:30:00,496.2575700239975,537.64383484688,1.083396742584461,261.6832945161539,273.71368533294833,1.0459730944577001,3982,24965.416521668434,660,13237.332580566406
701,S1,intensity_enhanced,2024-10-30 14:00:00,498.9302652461587,537.128224829531,1.0765597163453802,261.65769042613294,274.50733840023474,1.0491086195600592,3986,24839.44261944294,651,13053.043355941772
702,S1,intensity_enhanced,2024-10-30 14:30:00,495.93218218855634,531.3759780751295,1.071469037823192,262.1623570858737,273.122172919412,1.0418054519930458,3904,24943.511949539185,656,13404.189927101135
703,S1,intensity_enhanced,2024-10-30 15:00:00,488.31901034268543,537.3274946034921,1.1003616144831494,266.86305225440657,275.75254160664826,1.0333110532804897,3910,24706.28603029251,663,13197.369675636292
704,S1,intensity_enhanced,2024-10-30 15:30:00,486.16975323983115,534.3528188254883,1.0991074933489062,276.2338238436168,287.73060992149846,1.0416197622648458,3467,23323.40748310089,713,12966.239395141602
705,S1,intensity_enhanced,2024-10-30 16:00:00,475.2790439776189,518.2881271879716,1.0904922776531607,278.34856565501826,284.2357887588741,1.0211505422706268,3396,24281.591428518295,727,14260.055331230164
706,S1,intensity_enhanced,2024-10-30 16:30:00,475.09675113583836,517.896601994697,1.090086599743176,278.9136071686446,284.2302128069535,1.0190618367181101,3393,24290.02490580082,729,14293.26778125763
707,S1,intensity_enhanced,2024-10-30 17:00:00,465.0661962648507,505.7907119140412,1.0875671377026876,280.07785211360226,281.20436119711064,1.0040221284011077,3331,24767.731562137604,739,14928.304430961609
708,S1,intensity_enhanced,2024-10-30 17:30:00,465.3373663054446,511.52465276226803,1.0992554860219526,279.7265592376869,281.65254171356116,1.0068852327827644,3351,24624.1129925251,734,14664.124167442322
709,S1,intensity_enhanced,2024-10-30 18:00:00,465.1136325912686,511.1734802607503,1.0990292359586822,279.7550943884374,281.75096408227904,1.0071343461973543,3346,24606.03931260109,734,14660.218878746033
710,S1,intensity_enhanced,2024-10-30 18:30:00,513.050672874041,551.8872315323673,1.0756973155122633,241.29064613929586,295.67914250086824,1.2254065676883843,3739,22698.2579151392,653,11982.622860908508
711,S1,intensity_enhanced,2024-10-30 19:00:00,487.98991712955984,544.6892826995104,1.11618962519444,241.03730249561275,294.11394097676714,1.2202009312733628,3735,22996.53546023369,657,12364.955023765564
712,S1,intensity_enhanced,2024-10-30 19:30:00,456.3030764558925,542.4417547031381,1.1887751424256963,245.42282035252313,302.9545869344248,1.2344189774172685,3736,23410.14730012417,680,12785.815868377686
713,S1,intensity_enhanced,2024-10-30 20:00:00,456.11567719947504,542.4667424940951,1.1893183453478504,245.14559444576844,302.7823013723975,1.2351121465467672,3734,23397.498036384583,679,12773.812692642212
714,S1,intensity_enhanced,2024-10-30 20:30:00,456.20637407308095,538.3647102764702,1.180090285608826,254.2134457701684,316.61905418009394,1.2454850813294296,3735,24266.045628666878,724,13728.952214241028
715,S1,intensity_enhanced,2024-10-30 21:00:00,453.6438635065196,544.2336896555928,1.199693710058904,250.044563335722,321.0137322219338,1.2838260825968206,3732,24667.571370482445,731,14099.812497138977
716,S1,intensity_enhanced,2024-10-30 21:30:00,448.88069850358,584.1432353634133,1.3013329316915443,263.67499022778975,334.3882982461626,1.268183599655326,3712,24886.831862568855,790,14214.673599243164
